[[1, 0, 2], [5, 6, 4], [3, 8, 7]]: 14
[[1, 4, 6], [5, 8, 2], [0, 3, 7]]: 21
[[6, 2, 4], [1, 5, 7], [3, 8, 0]]: 21
[[2, 4, 6], [1, 5, 7], [3, 8, 0]]: 21
[[1, 2, 0], [5, 7, 4], [3, 6, 8]]: 21
[[1, 2, 4], [5, 7, 8], [3, 6, 0]]: 21
[[1, 6, 2], [5, 7, 8], [3, 4, 0]]: 21
[[5, 1, 2], [3, 4, 7], [8, 6, 0]]: 21
[[1, 6, 2], [8, 4, 7], [5, 3, 0]]: 21
[[6, 5, 2], [1, 4, 7], [3, 8, 0]]: 21
[[1, 0, 4], [3, 2, 6], [8, 5, 7]]: 22
[[1, 4, 0], [3, 2, 6], [8, 5, 7]]: 21
[[1, 2, 4], [0, 6, 7], [5, 3, 8]]: 22
[[1, 6, 2], [0, 4, 7], [5, 3, 8]]: 22
[[1, 6, 2], [4, 0, 7], [5, 3, 8]]: 21
[[1, 6, 2], [4, 3, 7], [5, 0, 8]]: 20
[[1, 6, 2], [4, 3, 7], [5, 8, 0]]: 19
[[1, 6, 2], [4, 7, 0], [5, 3, 8]]: 20
[[1, 6, 2], [4, 3, 0], [5, 8, 7]]: 20
[[1, 6, 2], [4, 3, 7], [0, 5, 8]]: 21
[[1, 6, 2], [4, 7, 8], [5, 3, 0]]: 21
[[1, 6, 2], [4, 0, 3], [5, 8, 7]]: 21
[[1, 0, 2], [5, 8, 4], [3, 7, 6]]: 22
[[1, 0, 2], [3, 5, 4], [8, 7, 6]]: 22
[[5, 0, 2], [6, 1, 4], [3, 8, 7]]: 22
[[5, 2, 0], [6, 1, 4], [3, 8, 7]]: 21
[[1, 4, 6], [5, 2, 7], [3, 0, 8]]: 22
[[1, 6, 2], [3, 4, 7], [8, 0, 5]]: 22
[[5, 1, 2], [6, 4, 7], [3, 0, 8]]: 22
[[5, 1, 2], [6, 8, 0], [3, 7, 4]]: 22
[[1, 4, 6], [5, 8, 0], [3, 7, 2]]: 22
[[1, 4, 6], [3, 5, 0], [8, 7, 2]]: 22
[[1, 2, 4], [0, 5, 7], [3, 6, 8]]: 22
[[1, 2, 4], [3, 5, 7], [0, 6, 8]]: 21
[[5, 1, 4], [0, 2, 6], [3, 8, 7]]: 22
[[5, 1, 4], [3, 2, 6], [0, 8, 7]]: 21
[[1, 0, 2], [5, 6, 7], [3, 4, 8]]: 22
[[1, 2, 0], [5, 6, 7], [3, 4, 8]]: 21
[[1, 6, 2], [0, 5, 7], [3, 4, 8]]: 22
[[1, 6, 2], [3, 5, 7], [0, 4, 8]]: 21
[[1, 6, 2], [3, 5, 7], [4, 0, 8]]: 20
[[1, 6, 2], [3, 5, 7], [4, 8, 0]]: 19
[[1, 6, 2], [3, 5, 0], [4, 8, 7]]: 20
[[1, 0, 6], [5, 8, 2], [3, 7, 4]]: 22
[[1, 0, 2], [5, 6, 8], [3, 7, 4]]: 22
[[1, 2, 0], [5, 6, 8], [3, 7, 4]]: 21
[[1, 6, 2], [5, 7, 8], [3, 0, 4]]: 22
[[1, 6, 2], [0, 5, 8], [3, 7, 4]]: 22
[[1, 6, 2], [3, 5, 8], [0, 7, 4]]: 21
[[1, 6, 2], [3, 5, 8], [7, 0, 4]]: 20
[[1, 6, 2], [3, 5, 8], [7, 4, 0]]: 19
[[1, 6, 2], [3, 5, 0], [7, 4, 8]]: 20
[[1, 2, 4], [5, 7, 8], [3, 0, 6]]: 22
[[1, 2, 4], [0, 5, 8], [3, 7, 6]]: 22
[[1, 2, 4], [3, 5, 8], [0, 7, 6]]: 21
[[1, 2, 4], [3, 5, 8], [7, 0, 6]]: 20
[[1, 2, 4], [3, 5, 8], [7, 6, 0]]: 21
[[1, 0, 6], [3, 5, 2], [8, 7, 4]]: 22
[[1, 0, 2], [3, 6, 5], [8, 7, 4]]: 22
[[1, 2, 0], [3, 6, 5], [8, 7, 4]]: 21
[[1, 6, 2], [3, 7, 5], [8, 0, 4]]: 22
[[1, 6, 2], [3, 7, 5], [8, 4, 0]]: 21
[[1, 6, 2], [0, 3, 5], [8, 7, 4]]: 22
[[1, 2, 4], [3, 7, 5], [8, 0, 6]]: 22
[[1, 2, 4], [0, 3, 5], [8, 7, 6]]: 22
[[5, 1, 6], [0, 4, 2], [3, 8, 7]]: 22
[[5, 1, 6], [3, 4, 2], [0, 8, 7]]: 21
[[5, 1, 6], [4, 0, 2], [3, 8, 7]]: 21
[[5, 1, 6], [4, 2, 0], [3, 8, 7]]: 20
[[5, 1, 0], [4, 2, 6], [3, 8, 7]]: 21
[[5, 1, 6], [4, 2, 7], [3, 8, 0]]: 21
[[5, 1, 2], [0, 3, 4], [8, 6, 7]]: 22
[[1, 0, 6], [3, 4, 2], [8, 5, 7]]: 22
[[1, 0, 2], [8, 6, 4], [5, 3, 7]]: 22
[[1, 2, 0], [8, 6, 4], [5, 3, 7]]: 21
[[1, 6, 2], [8, 3, 0], [5, 7, 4]]: 22
[[1, 2, 4], [8, 6, 0], [5, 3, 7]]: 22
[[1, 2, 4], [8, 3, 0], [5, 7, 6]]: 22
[[5, 1, 2], [3, 7, 6], [8, 0, 4]]: 22
[[5, 1, 2], [3, 7, 6], [8, 4, 0]]: 21
[[5, 1, 2], [0, 3, 6], [8, 7, 4]]: 22
[[6, 5, 2], [1, 8, 4], [3, 0, 7]]: 22
[[6, 5, 2], [1, 8, 4], [3, 7, 0]]: 21
[[2, 5, 4], [1, 8, 6], [3, 0, 7]]: 22
[[2, 5, 4], [1, 8, 6], [3, 7, 0]]: 21
[[2, 5, 4], [1, 6, 0], [3, 8, 7]]: 22
[[5, 1, 2], [3, 4, 7], [8, 0, 6]]: 22
[[1, 6, 2], [8, 4, 7], [5, 0, 3]]: 22
[[1, 4, 6], [3, 2, 0], [8, 5, 7]]: 22
[[1, 0, 2], [4, 6, 7], [5, 3, 8]]: 22
[[1, 2, 0], [4, 6, 7], [5, 3, 8]]: 21
[[1, 6, 2], [4, 7, 8], [5, 0, 3]]: 22
[[1, 0, 2], [4, 6, 3], [5, 8, 7]]: 22
[[1, 2, 0], [4, 6, 3], [5, 8, 7]]: 21
[[1, 2, 3], [4, 6, 0], [5, 8, 7]]: 20
[[1, 2, 3], [4, 6, 7], [5, 8, 0]]: 21
[[1, 2, 3], [4, 0, 6], [5, 8, 7]]: 21
[[1, 6, 2], [4, 8, 3], [5, 0, 7]]: 22
[[1, 6, 2], [4, 8, 3], [5, 7, 0]]: 21
[[5, 2, 4], [6, 1, 0], [3, 8, 7]]: 22
[[1, 2, 4], [3, 5, 7], [6, 0, 8]]: 22
[[1, 2, 4], [3, 5, 7], [6, 8, 0]]: 21
[[5, 1, 4], [3, 2, 6], [8, 0, 7]]: 22
[[5, 1, 4], [3, 2, 6], [8, 7, 0]]: 21
[[1, 2, 7], [5, 6, 0], [3, 4, 8]]: 22
[[1, 2, 8], [5, 6, 0], [3, 7, 4]]: 22
[[1, 2, 8], [5, 6, 4], [3, 7, 0]]: 21
[[1, 2, 4], [3, 5, 0], [7, 6, 8]]: 22
[[1, 2, 5], [3, 6, 0], [8, 7, 4]]: 22
[[1, 2, 5], [3, 6, 4], [8, 7, 0]]: 21
[[5, 1, 6], [3, 4, 2], [8, 0, 7]]: 22
[[5, 1, 6], [3, 4, 2], [8, 7, 0]]: 21
[[5, 1, 6], [4, 8, 2], [3, 0, 7]]: 22
[[5, 1, 6], [4, 8, 2], [3, 7, 0]]: 21
[[1, 2, 7], [4, 6, 0], [5, 3, 8]]: 22
[[1, 2, 3], [4, 8, 6], [5, 0, 7]]: 22
[[1, 2, 3], [4, 8, 6], [5, 7, 0]]: 21
[[1, 2, 4], [3, 5, 0], [6, 8, 7]]: 22
[[0, 6, 2], [1, 8, 4], [5, 3, 7]]: 23
[[0, 2, 4], [1, 8, 6], [5, 3, 7]]: 23
[[5, 1, 0], [3, 6, 2], [8, 7, 4]]: 23
[[0, 1, 2], [3, 6, 4], [8, 5, 7]]: 23
[[3, 1, 2], [0, 6, 4], [8, 5, 7]]: 22
[[0, 6, 2], [1, 3, 4], [8, 5, 7]]: 23
[[0, 2, 4], [1, 3, 6], [8, 5, 7]]: 23
[[0, 4, 6], [1, 5, 2], [3, 8, 7]]: 23
[[4, 0, 6], [1, 5, 2], [3, 8, 7]]: 22
[[6, 2, 4], [1, 0, 5], [3, 8, 7]]: 23
[[2, 4, 6], [1, 0, 5], [3, 8, 7]]: 23
[[1, 4, 6], [3, 0, 2], [8, 5, 7]]: 23
[[1, 6, 0], [5, 7, 2], [3, 4, 8]]: 23
[[5, 1, 0], [3, 4, 2], [8, 6, 7]]: 23
[[1, 6, 0], [8, 4, 2], [5, 3, 7]]: 23
[[6, 5, 0], [1, 4, 2], [3, 8, 7]]: 23
[[1, 2, 4], [6, 0, 7], [5, 3, 8]]: 23
[[1, 2, 4], [6, 3, 7], [5, 0, 8]]: 22
[[1, 2, 4], [6, 3, 7], [5, 8, 0]]: 21
[[1, 2, 4], [6, 7, 0], [5, 3, 8]]: 22
[[1, 2, 4], [6, 3, 0], [5, 8, 7]]: 22
[[1, 6, 0], [4, 7, 2], [5, 3, 8]]: 23
[[1, 6, 0], [4, 3, 2], [5, 8, 7]]: 23
[[1, 8, 2], [5, 0, 4], [3, 7, 6]]: 23
[[1, 8, 2], [5, 4, 0], [3, 7, 6]]: 22
[[1, 8, 2], [5, 4, 6], [3, 7, 0]]: 21
[[1, 5, 2], [3, 0, 4], [8, 7, 6]]: 23
[[1, 5, 2], [3, 4, 0], [8, 7, 6]]: 22
[[1, 5, 2], [3, 4, 6], [8, 7, 0]]: 21
[[0, 5, 2], [6, 1, 4], [3, 8, 7]]: 23
[[1, 4, 6], [5, 2, 7], [0, 3, 8]]: 23
[[1, 6, 2], [3, 4, 7], [0, 8, 5]]: 23
[[5, 1, 2], [6, 4, 7], [0, 3, 8]]: 23
[[1, 4, 0], [5, 8, 6], [3, 7, 2]]: 23
[[1, 4, 0], [3, 5, 6], [8, 7, 2]]: 23
[[5, 1, 4], [2, 0, 6], [3, 8, 7]]: 23
[[1, 6, 2], [3, 0, 7], [4, 5, 8]]: 23
[[1, 6, 2], [3, 7, 0], [4, 5, 8]]: 22
[[1, 6, 0], [3, 5, 2], [4, 8, 7]]: 23
[[1, 6, 2], [3, 0, 5], [4, 8, 7]]: 23
[[1, 8, 6], [5, 0, 2], [3, 7, 4]]: 23
[[1, 8, 6], [5, 2, 0], [3, 7, 4]]: 22
[[1, 8, 6], [5, 2, 4], [3, 7, 0]]: 21
[[1, 6, 2], [5, 7, 8], [0, 3, 4]]: 23
[[1, 6, 2], [3, 0, 8], [7, 5, 4]]: 23
[[1, 6, 2], [3, 8, 0], [7, 5, 4]]: 22
[[1, 6, 2], [3, 8, 4], [7, 5, 0]]: 21
[[1, 6, 0], [3, 5, 2], [7, 4, 8]]: 23
[[1, 6, 2], [3, 0, 5], [7, 4, 8]]: 23
[[1, 6, 2], [3, 4, 5], [7, 0, 8]]: 22
[[1, 6, 2], [3, 4, 5], [7, 8, 0]]: 21
[[1, 2, 4], [5, 7, 8], [0, 3, 6]]: 23
[[1, 2, 4], [3, 0, 8], [7, 5, 6]]: 23
[[1, 2, 4], [3, 8, 0], [7, 5, 6]]: 22
[[1, 2, 4], [3, 8, 6], [7, 5, 0]]: 21
[[1, 5, 6], [3, 0, 2], [8, 7, 4]]: 23
[[1, 5, 6], [3, 2, 0], [8, 7, 4]]: 22
[[1, 5, 6], [3, 2, 4], [8, 7, 0]]: 21
[[1, 6, 2], [3, 7, 5], [0, 8, 4]]: 23
[[1, 6, 2], [8, 3, 5], [0, 7, 4]]: 23
[[1, 6, 2], [8, 3, 5], [7, 0, 4]]: 22
[[1, 6, 2], [8, 3, 5], [7, 4, 0]]: 21
[[1, 2, 4], [3, 7, 5], [0, 8, 6]]: 23
[[1, 2, 4], [3, 7, 5], [8, 6, 0]]: 23
[[1, 2, 4], [8, 3, 5], [0, 7, 6]]: 23
[[1, 2, 4], [8, 3, 5], [7, 0, 6]]: 22
[[0, 1, 2], [5, 3, 4], [8, 6, 7]]: 23
[[1, 0, 2], [5, 3, 4], [8, 6, 7]]: 22
[[1, 3, 2], [5, 0, 4], [8, 6, 7]]: 21
[[1, 3, 2], [5, 6, 4], [8, 0, 7]]: 20
[[1, 3, 2], [5, 6, 4], [8, 7, 0]]: 19
[[1, 3, 2], [5, 4, 0], [8, 6, 7]]: 20
[[1, 2, 0], [5, 3, 4], [8, 6, 7]]: 21
[[1, 3, 2], [5, 6, 4], [0, 8, 7]]: 21
[[1, 3, 2], [5, 4, 7], [8, 6, 0]]: 21
[[1, 3, 2], [0, 5, 4], [8, 6, 7]]: 22
[[1, 3, 2], [5, 6, 0], [8, 7, 4]]: 22
[[1, 2, 4], [5, 3, 0], [8, 6, 7]]: 22
[[1, 3, 2], [5, 4, 7], [8, 0, 6]]: 22
[[5, 1, 2], [8, 3, 4], [0, 6, 7]]: 23
[[1, 6, 2], [8, 0, 3], [5, 7, 4]]: 23
[[1, 2, 4], [8, 6, 7], [5, 3, 0]]: 23
[[1, 2, 0], [8, 3, 4], [5, 7, 6]]: 23
[[1, 2, 4], [8, 0, 3], [5, 7, 6]]: 23
[[5, 1, 2], [3, 7, 6], [0, 8, 4]]: 23
[[0, 1, 2], [5, 3, 6], [8, 7, 4]]: 23
[[1, 0, 2], [5, 3, 6], [8, 7, 4]]: 22
[[1, 3, 2], [5, 0, 6], [8, 7, 4]]: 21
[[1, 2, 0], [5, 3, 6], [8, 7, 4]]: 21
[[1, 3, 2], [5, 7, 6], [8, 0, 4]]: 22
[[1, 3, 2], [5, 7, 6], [8, 4, 0]]: 21
[[1, 3, 2], [0, 5, 6], [8, 7, 4]]: 22
[[1, 2, 6], [5, 3, 0], [8, 7, 4]]: 22
[[1, 2, 6], [5, 3, 4], [8, 7, 0]]: 21
[[5, 1, 2], [8, 3, 6], [0, 7, 4]]: 23
[[5, 1, 2], [8, 3, 6], [7, 0, 4]]: 22
[[5, 1, 2], [8, 3, 6], [7, 4, 0]]: 21
[[6, 5, 2], [1, 8, 4], [0, 3, 7]]: 23
[[2, 5, 4], [1, 8, 6], [0, 3, 7]]: 23
[[2, 5, 0], [1, 6, 4], [3, 8, 7]]: 23
[[2, 5, 4], [1, 6, 7], [3, 8, 0]]: 23
[[5, 1, 2], [3, 4, 7], [0, 8, 6]]: 23
[[1, 6, 2], [8, 4, 7], [0, 5, 3]]: 23
[[1, 4, 6], [3, 2, 7], [8, 5, 0]]: 23
[[1, 6, 2], [4, 0, 8], [5, 7, 3]]: 23
[[1, 6, 2], [4, 8, 0], [5, 7, 3]]: 22
[[1, 6, 2], [4, 7, 8], [0, 5, 3]]: 23
[[1, 6, 2], [4, 8, 3], [0, 5, 7]]: 23
[[5, 2, 4], [6, 1, 7], [3, 8, 0]]: 23
[[1, 2, 7], [5, 6, 8], [3, 4, 0]]: 23
[[1, 2, 7], [5, 0, 6], [3, 4, 8]]: 23
[[1, 2, 7], [5, 4, 6], [3, 0, 8]]: 22
[[1, 2, 7], [5, 4, 6], [3, 8, 0]]: 21
[[1, 2, 8], [5, 0, 6], [3, 7, 4]]: 23
[[1, 2, 0], [3, 5, 4], [7, 6, 8]]: 23
[[1, 2, 5], [3, 0, 6], [8, 7, 4]]: 23
[[5, 1, 6], [4, 8, 2], [0, 3, 7]]: 23
[[1, 2, 7], [4, 6, 8], [5, 3, 0]]: 23
[[1, 2, 7], [4, 0, 6], [5, 3, 8]]: 23
[[1, 2, 7], [4, 3, 6], [5, 0, 8]]: 22
[[1, 2, 7], [4, 3, 6], [5, 8, 0]]: 21
[[1, 2, 3], [4, 8, 6], [0, 5, 7]]: 23
[[1, 2, 0], [3, 5, 4], [6, 8, 7]]: 23
[[3, 1, 2], [8, 6, 4], [0, 5, 7]]: 23
[[3, 1, 2], [6, 0, 4], [8, 5, 7]]: 23
[[3, 1, 2], [6, 5, 4], [8, 0, 7]]: 22
[[3, 1, 2], [6, 5, 4], [8, 7, 0]]: 21
[[3, 1, 2], [6, 4, 0], [8, 5, 7]]: 22
[[4, 5, 6], [1, 0, 2], [3, 8, 7]]: 23
[[4, 5, 6], [1, 2, 0], [3, 8, 7]]: 22
[[4, 6, 0], [1, 5, 2], [3, 8, 7]]: 23
[[4, 6, 2], [1, 5, 0], [3, 8, 7]]: 22
[[1, 2, 4], [6, 3, 7], [0, 5, 8]]: 23
[[1, 2, 0], [6, 7, 4], [5, 3, 8]]: 23
[[1, 2, 4], [6, 7, 8], [5, 3, 0]]: 23
[[1, 2, 0], [6, 3, 4], [5, 8, 7]]: 23
[[1, 2, 4], [6, 0, 3], [5, 8, 7]]: 23
[[1, 6, 2], [3, 7, 8], [4, 5, 0]]: 23
[[1, 8, 0], [5, 2, 6], [3, 7, 4]]: 23
[[1, 2, 0], [3, 8, 4], [7, 5, 6]]: 23
[[1, 5, 0], [3, 2, 6], [8, 7, 4]]: 23
[[1, 2, 4], [8, 3, 5], [7, 6, 0]]: 23
[[1, 3, 0], [5, 4, 2], [8, 6, 7]]: 23
[[1, 3, 2], [8, 5, 4], [0, 6, 7]]: 23
[[1, 2, 4], [5, 3, 7], [8, 6, 0]]: 23
[[1, 2, 4], [5, 0, 3], [8, 6, 7]]: 23
[[1, 2, 4], [5, 6, 3], [8, 0, 7]]: 22
[[1, 2, 4], [5, 6, 3], [8, 7, 0]]: 21
[[1, 3, 2], [5, 4, 7], [0, 8, 6]]: 23
[[1, 3, 2], [5, 7, 6], [0, 8, 4]]: 23
[[1, 3, 2], [8, 5, 6], [0, 7, 4]]: 23
[[1, 3, 2], [8, 5, 6], [7, 0, 4]]: 22
[[1, 3, 2], [8, 5, 6], [7, 4, 0]]: 21
[[1, 2, 6], [5, 0, 3], [8, 7, 4]]: 23
[[1, 2, 7], [5, 4, 6], [0, 3, 8]]: 23
[[1, 2, 7], [4, 3, 6], [0, 5, 8]]: 23
[[3, 1, 2], [6, 5, 4], [0, 8, 7]]: 23
[[3, 1, 2], [6, 4, 7], [8, 5, 0]]: 23
[[4, 5, 0], [1, 2, 6], [3, 8, 7]]: 23
[[4, 5, 6], [1, 2, 7], [3, 8, 0]]: 23
[[4, 6, 2], [1, 5, 7], [3, 8, 0]]: 23
[[1, 2, 4], [5, 6, 3], [0, 8, 7]]: 23
[[1, 0, 4], [5, 2, 7], [3, 6, 8]]: 24
[[1, 4, 0], [5, 2, 7], [3, 6, 8]]: 23
[[1, 0, 4], [5, 2, 8], [3, 7, 6]]: 24
[[1, 4, 0], [5, 2, 8], [3, 7, 6]]: 23
[[1, 0, 4], [3, 2, 5], [8, 7, 6]]: 24
[[1, 4, 0], [3, 2, 5], [8, 7, 6]]: 23
[[5, 0, 2], [3, 1, 4], [8, 6, 7]]: 24
[[5, 2, 0], [3, 1, 4], [8, 6, 7]]: 23
[[5, 0, 1], [6, 4, 2], [3, 8, 7]]: 24
[[1, 0, 4], [8, 2, 6], [5, 3, 7]]: 24
[[1, 4, 0], [8, 2, 6], [5, 3, 7]]: 23
[[5, 0, 2], [3, 1, 6], [8, 7, 4]]: 24
[[5, 2, 0], [3, 1, 6], [8, 7, 4]]: 23
[[6, 5, 2], [0, 1, 4], [3, 8, 7]]: 24
[[6, 5, 2], [3, 1, 4], [0, 8, 7]]: 23
[[2, 5, 4], [0, 1, 6], [3, 8, 7]]: 24
[[2, 5, 4], [3, 1, 6], [0, 8, 7]]: 23
[[1, 2, 4], [3, 6, 7], [8, 0, 5]]: 24
[[5, 1, 2], [0, 8, 4], [6, 3, 7]]: 24
[[1, 4, 6], [0, 8, 2], [5, 3, 7]]: 24
[[6, 2, 4], [1, 5, 7], [3, 0, 8]]: 24
[[2, 4, 6], [1, 5, 7], [3, 0, 8]]: 24
[[1, 0, 2], [5, 7, 4], [3, 6, 8]]: 24
[[6, 5, 2], [1, 4, 7], [3, 0, 8]]: 24
[[1, 6, 2], [0, 3, 7], [4, 5, 8]]: 24
[[1, 6, 2], [0, 4, 3], [5, 8, 7]]: 24
[[1, 6, 2], [5, 4, 3], [0, 8, 7]]: 23
[[1, 6, 2], [3, 7, 0], [8, 4, 5]]: 24
[[5, 0, 6], [4, 1, 2], [3, 8, 7]]: 24
[[5, 0, 1], [4, 2, 6], [3, 8, 7]]: 24
[[5, 2, 1], [4, 0, 6], [3, 8, 7]]: 23
[[5, 1, 6], [4, 2, 7], [3, 0, 8]]: 24
[[5, 1, 2], [3, 7, 0], [8, 4, 6]]: 24
[[6, 5, 2], [1, 8, 0], [3, 7, 4]]: 24
[[2, 5, 4], [1, 8, 0], [3, 7, 6]]: 24
[[1, 2, 3], [4, 6, 7], [5, 0, 8]]: 24
[[1, 0, 3], [4, 2, 6], [5, 8, 7]]: 24
[[1, 2, 3], [0, 4, 6], [5, 8, 7]]: 24
